25439,77.022412000,00004f0000000000
25471,77.110338000,0000000000000000
25637,77.614333000,2000000000000000
25769,78.014361000,2000330000000000
25805,78.118343000,2000000000000000
25921,78.470338000,2000330000000000
25961,78.590339000,2000000000000000
26031,78.798343000,0000000000000000
26261,79.494341000,2000000000000000
26299,79.606342000,2000090000000000
26343,79.742381000,0000090000000000
26349,79.750347000,0000000000000000
26559,80.390351000,0000150000000000
26587,80.470347000,0000000000000000
26705,80.830355000,0000120000000000
26737,80.918353000,0000000000000000
26849,81.262352000,0000100000000000
26873,81.326365000,0000000000000000
27291,82.606360000,2000000000000000
27385,82.886359000,2000050000000000
27417,82.982364000,2000000000000000
27421,82.990355000,0000000000000000
27517,83.278365000,0000040000000000
27551,83.374357000,0000000000000000
27645,83.662364000,0000160000000000
27687,83.782363000,0000000000000000
27811,84.158377000,0000080000000000
27839,84.238364000,0000000000000000
28001,84.726363000,0000230000000000
28031,84.814371000,0000000000000000
28167,85.230367000,0000210000000000
28205,85.334365000,0000000000000000
28455,86.102382000,2000000000000000
28489,86.198374000,2000160000000000
28523,86.302385000,0000160000000000
28535,86.326372000,0000000000000000
28641,86.646382000,0000170000000000
28685,86.774369000,0000000000000000
28791,87.094371000,00002b0000000000
28829,87.206391000,0000000000000000
29601,89.574380000,2000000000000000
29753,90.038390000,2000260000000000
29797,90.166386000,2000000000000000
29837,90.286390000,0000000000000000
31045,93.998409000,00000c0000000000
31079,94.094408000,0000000000000000
31205,94.478455000,0000150000000000
31239,94.574403000,0000000000000000
31389,95.030403000,0000100000000000
31419,95.118411000,0000000000000000
31561,95.550418000,00002c0000000000
31599,95.654409000,0000000000000000
32433,98.222937000,0000340000000000
32461,98.294421000,0000000000000000
32691,98.998426000,0000340000000000
32725,99.094436000,0000000000000000
32895,99.614427000,0000500000000000
32931,99.718431000,0000000000000000
33135,100.342438000,00000b0000000000
33159,100.406435000,0000000000000000
33399,101.142435000,0000170000000000
33429,101.230449000,0000000000000000
33549,101.590434000,0000170000000000
33585,101.694437000,0000000000000000
33797,102.342438000,0000130000000000
33821,102.406443000,0000000000000000
34125,103.342442000,0000160000000000
34159,103.438447000,0000000000000000
34273,103.782450000,2000000000000000
34371,104.078463000,2000330000000000
34419,104.222450000,2000000000000000
34431,104.246649000,0000000000000000
34511,104.486451000,0000380000000000
34549,104.598476000,0000000000000000
34765,105.254449000,0000380000000000
34787,105.318458000,0000000000000000
35331,106.990467000,0000270000000000
35357,107.062462000,0000000000000000
35543,107.630471000,00001b0000000000
35591,107.766466000,0000000000000000
35687,108.062467000,0000270000000000
35715,108.134463000,0000000000000000
35957,108.878477000,0000370000000000
35985,108.958476000,0000000000000000
36105,109.318468000,0000160000000000
36139,109.414465000,0000000000000000
36283,109.854469000,0000170000000000
36321,109.966471000,0000000000000000
37023,112.118486000,0000380000000000
37045,112.182486000,0000000000000000
37445,113.406487000,2000000000000000
37545,113.710486000,2000130000000000
37597,113.862507000,2000000000000000
37615,113.910492000,0000000000000000
37753,114.327157000,0000050000000000
37783,114.414491000,0000000000000000
38309,116.030501000,2000000000000000
38421,116.366497000,20001a0000000000
38467,116.502509000,2000000000000000
38477,116.526496000,0000000000000000
38851,117.670507000,0200080000000000
38875,117.734506000,0000000000000000
39045,118.254505000,0000370000000000
39067,118.318510000,0000000000000000
39277,118.958518000,0000170000000000
39315,119.070518000,0000000000000000
39457,119.494512000,00001b0000000000
39485,119.582526000,0000000000000000
39717,120.286513000,0000170000000000
39749,120.374513000,0000000000000000
40361,122.254526000,00004f0000000000
40393,122.350528000,0000000000000000
40639,123.094521000,2000000000000000
40793,123.566531000,2000270000000000
40825,123.662547000,2000000000000000
40947,124.030534000,2000270000000000
40981,124.126530000,2000000000000000
41095,124.470534000,2000270000000000
41133,124.582538000,2000000000000000
41147,124.622581000,0000000000000000
41389,125.358585000,0000280000000000
41411,125.414536000,0000000000000000
42157,127.710543000,00000f0000000000
42183,127.782552000,0000000000000000
42323,128.206555000,0000160000000000
42359,128.310556000,0000000000000000
42569,128.950555000,0000280000000000
42589,129.006553000,0000000000000000
43453,131.654560000,0000180000000000
43491,131.766568000,0000000000000000
43619,132.158564000,0000110000000000
43653,132.254562000,0000000000000000
43773,132.614566000,00001d0000000000
43815,132.742568000,0000000000000000
43923,133.070573000,00000c0000000000
43961,133.182568000,0000000000000000
44109,133.630576000,0000130000000000
44141,133.718569000,0000000000000000
44257,134.070578000,0000280000000000
44275,134.118574000,0000000000000000
44709,135.446578000,0000180000000000
44737,135.526580000,0000000000000000
44895,136.006579000,0000110000000000
44927,136.102594000,0000000000000000
45081,136.566587000,00001d0000000000
45125,136.702590000,0000000000000000
45253,137.086590000,00000c0000000000
45289,137.190590000,0000000000000000
45421,137.590636000,0000130000000000
45451,137.678595000,0000000000000000
45633,138.230608000,00002c0000000000
45663,138.318594000,0000000000000000
45857,138.910593000,00002d0000000000
45889,138.998594000,0000000000000000
45975,139.262601000,2000000000000000
46091,139.606598000,2000130000000000
46139,139.750601000,2000000000000000
46159,139.806600000,0000000000000000
46457,140.718605000,00002c0000000000
46491,140.814598000,0000000000000000
46679,141.390608000,00001e0000000000
46717,141.502620000,0000000000000000
46833,141.846615000,0000100000000000
46865,141.942607000,0000000000000000
46983,142.294605000,2000000000000000
47101,142.654615000,20002d0000000000
47139,142.766614000,2000000000000000
47145,142.774603000,0000000000000000
47289,143.214609000,00000a0000000000
47319,143.302613000,0000000000000000
47449,143.694617000,0000270000000000
47479,143.782627000,0000000000000000
47607,144.166620000,0000070000000000
47641,144.270624000,0000000000000000
47767,144.646620000,2000000000000000
47863,144.934617000,20002d0000000000
47905,145.062623000,2000000000000000
47919,145.102631000,0000000000000000
48067,145.550626000,2000000000000000
48199,145.950625000,20001e0000000000
48237,146.054622000,2000000000000000
48353,146.406624000,20001e0000000000
48391,146.518629000,2000000000000000
48415,146.590630000,0000000000000000
48847,147.910631000,00002c0000000000
48883,148.014736000,0000000000000000
